OBJECTID,Name,AU_ID,Area_SQ_MI,AU_Size,MERGE_SRC,OID_,Shape_Leng,Shape_Area,curr_are,TotArea,sqMi23
1213,MA51-54,MA51-54,2.78769000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,20380.00320000000,7261087.64178000000,2.80370754148,2.78000000000,2.78768839898
1214,MA51-55,MA51-55,2.49245000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,16720.00250000000,6455002.43700000000,2.49244560641,2.49000000000,2.49244560594
1215,MA51-45,MA51-45,2.90425000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,13125.67008330000,7521430.67594000000,2.90424633532,2.90000000000,2.90424633532
1216,MA51-53,MA51-53,1.15240000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,9620.00230002000,3000213.13637000000,1.15846602637,1.15000000000,1.15239906545
1217,MA51-49,MA51-49,3.11247000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,24340.00500000000,8060703.08101000000,3.11247482078,3.11000000000,3.11247469133
1304,MA71_20,MA71-20,8.86699000000,0.00000000000,New Group Layer\Mystic_subbasins,0,23310.76678920000,22964035.91860000000,8.86698923610,8.86000000000,8.86698908077
1306,MA71_10,MA71-10,3.98064000000,0.00000000000,New Group Layer\Mystic_subbasins,0,16945.24600570000,10309333.48880000000,3.98063668792,3.98000000000,3.98063664892
1307,MA71_05,MA71-05,11.00020000000,0.00000000000,New Group Layer\Mystic_subbasins,0,31340.57835210000,28488859.12140000000,11.00019085520,10.88000000000,10.88720236000
1308,MA71_07,MA71-07,5.47263000000,0.00000000000,New Group Layer\Mystic_subbasins,0,19745.29260880000,14173269.06130000000,5.47262919776,5.47000000000,5.47262899877
1310,MA71_15,MA71-15,1.48856000000,0.00000000000,New Group Layer\Mystic_subbasins,0,10497.14982500000,3855142.77505000000,1.48855801069,1.49000000000,1.48855795370
1311,MA71_13,MA71-13,2.75719000000,0.00000000000,New Group Layer\Mystic_subbasins,0,15253.54569690000,7140707.32402000000,2.75718993642,2.76000000000,2.75718995552
1312,MA71_22,MA71-22,4.23706000000,0.00000000000,New Group Layer\Mystic_subbasins,0,23700.00000000000,10973300.00000000000,4.23706436327,4.23000000000,4.23706424802
1313,MA71_21,MA71-21,4.23444000000,0.00000000000,New Group Layer\Mystic_subbasins,0,23680.00000000000,10966500.00000000000,4.23443871373,4.23000000000,4.23443859847
1314,MA71_19,MA71-19,1.34657000000,0.00000000000,New Group Layer\Mystic_subbasins,0,9462.10110898000,3487403.09683000000,1.34657462524,1.35000000000,1.34657453815
1316,MA71_17,MA71-17,7.22056000000,0.00000000000,New Group Layer\Mystic_subbasins,0,33420.00000000000,18700200.00000000000,7.22055598518,7.21000000000,7.22055590379
1317,MA95_13,MA95-13,2.99020000000,0.00000000000,BuzzardsBay_all_subbasins,0,19100.00000000000,7744800.00000000000,2.99019652131,2.99000000000,2.99019652130
1318,MA95_28,MA95-28,17.23580000000,0.00000000000,BuzzardsBay_all_subbasins,0,56660.00000000000,44639200.00000000000,17.23578304370,17.23000000000,17.23578299380
1319,MA95_40,MA95-40,40.33310000000,0.00000000000,BuzzardsBay_all_subbasins,0,71859.72500000000,105242824.39700000000,40.63404663610,40.32000000000,40.33310444980
