OBJECTID,Name,AU_ID,Area_SQ_MI,AU_Size,MERGE_SRC,OID_,LU_Stats,Shape_Leng,Shape_Area
161,MA41_28,MA41-28,4.40755000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,27560.00220000000,11415499.97700000000
162,MA41_29,MA41-29,0.55957800000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,7200.00000000000,1449300.00000000000
163,MA91_04,MA91-04,2.18480000000,0.00000000000,New Group Layer\parker_all_subbasins_2016,0,,17540.00000000000,5658600.00000000000
164,MA91_07,MA91-07,2.33619000000,0.00000000000,New Group Layer\parker_all_subbasins_2016,0,,16300.00000000000,6050700.00000000000
165,MA91_08,MA91-08,12.57240000000,0.00000000000,New Group Layer\parker_all_subbasins_2016,0,,52960.00000000000,32562400.00000000000
166,MA91_10,MA91-10,1.85233000000,0.00000000000,New Group Layer\parker_all_subbasins_2016,0,,16120.00000000000,4797500.00000000000
167,MA91_13,MA91-13,3.62477000000,0.00000000000,New Group Layer\parker_all_subbasins_2016,0,,22480.00000000000,9388100.00000000000
168,MA91_01,MA91-01,24.85450000000,0.00000000000,New Group Layer\parker_all_subbasins_2016,0,,77600.00000000000,64372900.00000000000
169,MA91_16,MA91-16,4.07967000000,0.00000000000,New Group Layer\parker_all_subbasins_2016,0,,22700.00000000000,10566300.00000000000
170,MA93_02,MA93-02,2.80862000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,16780.00000000000,7274300.00000000000
171,MA93_05,MA93-05,6.48204000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,30060.00000000000,16788400.00000000000
172,MA93_07,MA93-07,3.09723000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,21880.00000000000,8021800.00000000000
173,MA93_26,MA93-26,0.92502400000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,11360.00000000000,2395800.00000000000
174,MA93_30,MA93-30,2.28356000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,13761.20579350000,5914393.26054000000
175,MA93_31,MA93-31,3.44152000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,24380.00000000000,8913500.00000000000
176,MA93_33,MA93-33,3.95357000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,24200.00000000000,10239700.00000000000
177,MA93_34,MA93-34,11.00480000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,44260.00000000000,28502200.00000000000
178,MA93_35,MA93-35,24.87360000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,68680.00000000000,64422400.00000000000
179,MA93_36,MA93-36,3.00407000000,0.00000000000,New Group Layer\NorthCoastal_all_subbasinsup59,0,,16220.00000000000,7780500.00000000000
